ID,SKU,Slug,Name,"Name (AR)","Short Description","Short Description (AR)",Description,"Description (AR)",Category,Subcategory,Price,"Compare Price","Discount %",Stock,"Low Stock Threshold",Status,Featured,Color,"Color Hex","Available Sizes","Size Stock","Available Colors","Variant Stock","Product Group","Times Purchased","Avg Rating","Review Count","View Count","Primary Image","Created At","Updated At"
10,LAP-QR4862,asus-rog-strix-g16,"ASUS ROG Strix G16","أسوس روج ستريكس G16","RTX 4070 gaming laptop with 165Hz display and RGB lighting.","لابتوب ألعاب RTX 4070 مع شاشة 165Hz وإضاءة RGB.","RTX 4070 gaming laptop with 165Hz display and RGB lighting.","لابتوب ألعاب RTX 4070 مع شاشة 165Hz وإضاءة RGB.",Electronics,Laptops,"1,449.00",,,10,,Active,No,,,,,,,,50,4.7,34,2340,asus-rog-strix-g16.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
44,SGZ-2132,baby-sippy-cup,"Baby Sippy Cup","كوب أطفال بمقبض","Spill-proof sippy cup with easy-grip handles. BPA-free, dishwasher safe, 240ml capacity. Ages 6+ months.","كوب أطفال مانع للانسكاب مع مقابض سهلة الإمساك. خالي من BPA، آمن لغسالة الصحون، سعة 240 مل. للأعمار 6+ أشهر.","Spill-proof sippy cup with easy-grip handles. BPA-free, dishwasher safe, 240ml capacity. Ages 6+ months.","كوب أطفال مانع للانسكاب مع مقابض سهلة الإمساك. خالي من BPA، آمن لغسالة الصحون، سعة 240 مل. للأعمار 6+ أشهر.",Kids,Toys,8.00,,,60,,Active,No,,,,,,,,66,3.9,35,313,baby-sippy-cup.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
31,WFG-5332,bamboo-cutting-board-set,"Bamboo Cutting Board Set","طقم ألواح تقطيع خيزران","Set of 3 organic bamboo cutting boards in different sizes. Knife-friendly surface, easy to clean, with juice grooves.","طقم من 3 ألواح تقطيع خيزران عضوي بأحجام مختلفة. سطح لطيف على السكاكين، سهل التنظيف، مع أخاديد للعصائر.","Set of 3 organic bamboo cutting boards in different sizes. Knife-friendly surface, easy to clean, with juice grooves.","طقم من 3 ألواح تقطيع خيزران عضوي بأحجام مختلفة. سطح لطيف على السكاكين، سهل التنظيف، مع أخاديد للعصائر.","Home & Kitchen","Kitchen Appliances",20.00,40.00,50%,40,,Active,No,,,,,,,,31,4.0,54,360,bamboo-cutting-board-set.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
60,M6V-4445,bamboo-desk-organizer,"Bamboo Desk Organizer","منظم مكتب خشبي","Eco-friendly bamboo desk organizer with multiple compartments. Perfect for pens, phone, and office supplies.","منظم مكتب من الخيزران الصديق للبيئة مع جيوب متعددة. مثالي للأقلام والهاتف ومستلزمات المكتب.","Eco-friendly bamboo desk organizer with multiple compartments. Perfect for pens, phone, and office supplies.","منظم مكتب من الخيزران الصديق للبيئة مع جيوب متعددة. مثالي للأقلام والهاتف ومستلزمات المكتب.",Stationery,"Office Supplies",24.00,,,35,,Active,No,,,,,,,,57,5.0,58,232,bamboo-desk-organizer.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
25,SKN-KZ3003,bioderma-sensibio-h2o-micellar,"Bioderma Sensibio H2O Micellar","بيوديرما سينسيبيو H2O ميسيلار","Gentle makeup remover for sensitive skin, 500ml.","مزيل مكياج لطيف للبشرة الحساسة، 500 مل.","Gentle makeup remover for sensitive skin, 500ml.","مزيل مكياج لطيف للبشرة الحساسة، 500 مل.",Skincare,,22.00,65.00,66.2%,85,,Active,No,,,,,,,,312,4.6,234,2980,bioderma-sensibio-h2o-micellar.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
27,V3P-5799,canvas-tote-bag,"Canvas Tote Bag","حقيبة توت قماشية","Durable cotton canvas tote bag with inner pocket. Eco-friendly, reusable, great for shopping or daily use.","حقيبة توت من القماش القطني المتين مع جيب داخلي. صديقة للبيئة، قابلة لإعادة الاستخدام، رائعة للتسوق أو الاستخدام اليومي.","Durable cotton canvas tote bag with inner pocket. Eco-friendly, reusable, great for shopping or daily use.","حقيبة توت من القماش القطني المتين مع جيب داخلي. صديقة للبيئة، قابلة لإعادة الاستخدام، رائعة للتسوق أو الاستخدام اليومي.",Fashion,"Women's Fashion",15.00,27.00,44.4%,60,,Active,No,,,,,,,,21,4.9,37,223,canvas-tote-bag.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
52,GHI-1825,ceramic-cookware-set-5pc,"Ceramic Cookware Set 5pc","طقم أواني سيراميك 5 قطع","Non-toxic ceramic coated cookware set. Includes frying pan, saucepan, and stockpot with lids. PFOA-free.","طقم أواني طهي بطلاء سيراميك غير سام. يشمل مقلاة وقدر صلصة وقدر كبير مع أغطية. خالي من PFOA.","Non-toxic ceramic coated cookware set. Includes frying pan, saucepan, and stockpot with lids. PFOA-free.","طقم أواني طهي بطلاء سيراميك غير سام. يشمل مقلاة وقدر صلصة وقدر كبير مع أغطية. خالي من PFOA.","Home & Kitchen","Kitchen Appliances",55.00,,,20,,Active,No,,,,,,,,31,4.9,42,481,ceramic-cookware-set-5pc.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
22,SKN-GY6090,cerave-moisturizing-cream,"CeraVe Moisturizing Cream","كريم سيرافي المرطب","Rich cream with ceramides and hyaluronic acid for 24hr hydration.","كريم غني بالسيراميد وحمض الهيالورونيك لترطيب 24 ساعة.","Rich cream with ceramides and hyaluronic acid for 24hr hydration.","كريم غني بالسيراميد وحمض الهيالورونيك لترطيب 24 ساعة.",Skincare,,19.00,38.00,50%,110,,Active,Yes,,,,,,,,456,4.8,298,6780,cerave-moisturizing-cream.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
46,9ET-1474,classic-leather-watch,"Classic Leather Watch","ساعة جلدية كلاسيكية","Elegant unisex watch with genuine leather strap and minimalist dial design. Water-resistant up to 30m, perfect for everyday wear.","ساعة أنيقة للجنسين مع حزام جلد طبيعي وتصميم بسيط للقرص. مقاومة للماء حتى 30 متر، مثالية للاستخدام اليومي.","Elegant unisex watch with genuine leather strap and minimalist dial design. Water-resistant up to 30m, perfect for everyday wear.","ساعة أنيقة للجنسين مع حزام جلد طبيعي وتصميم بسيط للقرص. مقاومة للماء حتى 30 متر، مثالية للاستخدام اليومي.",Fashion,"Men's Fashion",55.00,100.00,45%,30,,Active,No,,,,,,,,64,5.0,29,563,classic-leather-watch.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
45,MWR-1208,coloring-book-set,"Coloring Book Set","مجموعة كتب تلوين","Set of 4 coloring books with crayons. Features animals, vehicles, nature, and characters. Ages 3+.","مجموعة من 4 كتب تلوين مع أقلام شمع. تتضمن حيوانات ومركبات وطبيعة وشخصيات. للأعمار 3+.","Set of 4 coloring books with crayons. Features animals, vehicles, nature, and characters. Ages 3+.","مجموعة من 4 كتب تلوين مع أقلام شمع. تتضمن حيوانات ومركبات وطبيعة وشخصيات. للأعمار 3+.",Kids,Toys,10.00,,,50,,Active,No,,,,,,,,44,5.0,1,496,coloring-book-set.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
24,SKN-6A7130,dead-sea-mud-mask,"Dead Sea Mud Mask","قناع طين البحر الميت","Authentic Jordan Dead Sea mud for deep pore cleansing.","طين البحر الميت الأردني الأصلي لتنظيف المسام بعمق.","Authentic Jordan Dead Sea mud for deep pore cleansing.","طين البحر الميت الأردني الأصلي لتنظيف المسام بعمق.",Skincare,,24.00,40.00,40%,60,,Active,Yes,,,,,,,,267,4.7,189,3450,dead-sea-mud-mask.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
9,LAP-TW1540,dell-xps-15-2024,"Dell XPS 15 (2024)","ديل XPS 15 (2024)","Intel Core Ultra, OLED display, and premium aluminum build.","معالج إنتل كور ألترا وشاشة OLED وهيكل ألمنيوم فاخر.","Intel Core Ultra, OLED display, and premium aluminum build.","معالج إنتل كور ألترا وشاشة OLED وهيكل ألمنيوم فاخر.",Electronics,Laptops,"1,599.00","5,330.00",70%,15,,Active,Yes,,,,,,,,68,4.0,2,1980,dell-xps-15-2024.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
30,8GW-9037,electric-kettle-17l,"Electric Kettle 1.7L","غلاية كهربائية 1.7 لتر","Fast boiling electric kettle with auto shut-off and boil-dry protection. Stainless steel interior, BPA-free.","غلاية كهربائية سريعة الغليان مع إيقاف تلقائي وحماية من الغليان الجاف. داخلية ستانلس ستيل، خالية من BPA.","Fast boiling electric kettle with auto shut-off and boil-dry protection. Stainless steel interior, BPA-free.","غلاية كهربائية سريعة الغليان مع إيقاف تلقائي وحماية من الغليان الجاف. داخلية ستانلس ستيل، خالية من BPA.","Home & Kitchen","Kitchen Appliances",28.00,55.00,49.1%,35,,Active,No,,,,,,,,42,4.4,51,430,electric-kettle-17l.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
37,QEN-5962,foam-roller,"Foam Roller","أسطوانة فوم للتمارين","High-density foam roller for muscle recovery and massage. Textured surface for deep tissue relief, 45cm length.","أسطوانة فوم عالية الكثافة لاستعادة العضلات والتدليك. سطح محبب لتخفيف الأنسجة العميقة، طول 45 سم.","High-density foam roller for muscle recovery and massage. Textured surface for deep tissue relief, 45cm length.","أسطوانة فوم عالية الكثافة لاستعادة العضلات والتدليك. سطح محبب لتخفيف الأنسجة العميقة، طول 45 سم.",Sports,"Fitness Equipment",14.00,47.00,70.2%,45,,Active,No,,,,,,,,69,4.6,11,274,foam-roller.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
57,C64-6815,foldable-camping-chair,"Foldable Camping Chair","كرسي تخييم قابل للطي","Lightweight aluminum frame camping chair with cup holder. Supports up to 120kg. Includes carry bag.","كرسي تخييم بإطار ألمنيوم خفيف الوزن مع حامل أكواب. يتحمل حتى 120 كجم. يتضمن حقيبة حمل.","Lightweight aluminum frame camping chair with cup holder. Supports up to 120kg. Includes carry bag.","كرسي تخييم بإطار ألمنيوم خفيف الوزن مع حامل أكواب. يتحمل حتى 120 كجم. يتضمن حقيبة حمل.",Sports,"Fitness Equipment",28.00,,,30,,Active,No,,,,,,,,90,4.3,3,431,foldable-camping-chair.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
50,GQM-4246,french-press-coffee-maker,"French Press Coffee Maker","إبريق قهوة فرنسي","Premium stainless steel French press with 1L capacity. Heat-resistant borosilicate glass for perfect coffee every time.","إبريق قهوة فرنسي من الستانلس ستيل الفاخر بسعة 1 لتر. زجاج بوروسيليكات مقاوم للحرارة لقهوة مثالية في كل مرة.","Premium stainless steel French press with 1L capacity. Heat-resistant borosilicate glass for perfect coffee every time.","إبريق قهوة فرنسي من الستانلس ستيل الفاخر بسعة 1 لتر. زجاج بوروسيليكات مقاوم للحرارة لقهوة مثالية في كل مرة.","Home & Kitchen","Kitchen Appliances",25.00,,,35,,Active,No,,,,,,,,51,4.0,2,590,french-press-coffee-maker.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
33,P7G-3419,glass-food-storage-containers,"Glass Food Storage Containers","حافظات طعام زجاجية","Set of 5 borosilicate glass containers with airtight lids. Microwave, oven, freezer, and dishwasher safe.","طقم من 5 حافظات زجاجية بوروسيليكات مع أغطية محكمة. آمنة للميكروويف والفرن والفريزر وغسالة الصحون.","Set of 5 borosilicate glass containers with airtight lids. Microwave, oven, freezer, and dishwasher safe.","طقم من 5 حافظات زجاجية بوروسيليكات مع أغطية محكمة. آمنة للميكروويف والفرن والفريزر وغسالة الصحون.","Home & Kitchen","Kitchen Appliances",24.00,,,30,,Active,No,,,,,,,,54,4.3,22,481,glass-food-storage-containers.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
6,PHN-IQ3314,google-pixel-8-pro,"Google Pixel 8 Pro","جوجل بكسل 8 برو","Best-in-class AI photography with Tensor G3 chip and 7 years of updates.","أفضل تصوير بالذكاء الاصطناعي مع معالج تينسور G3 و7 سنوات من التحديثات.","Best-in-class AI photography with Tensor G3 chip and 7 years of updates.","أفضل تصوير بالذكاء الاصطناعي مع معالج تينسور G3 و7 سنوات من التحديثات.",Electronics,Smartphones,999.00,"1,430.00",30.1%,20,,Active,Yes,,,,,,,,145,4.6,98,2780,google-pixel-8-pro.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
12,LAP-OB2283,hp-pavilion-15,"HP Pavilion 15","إتش بي بافيليون 15","Affordable everyday laptop with Intel Core i5 and 512GB SSD.","لابتوب يومي بسعر مناسب مع معالج إنتل كور i5 و512 جيجابايت SSD.","Affordable everyday laptop with Intel Core i5 and 512GB SSD.","لابتوب يومي بسعر مناسب مع معالج إنتل كور i5 و512 جيجابايت SSD.",Electronics,Laptops,549.00,915.00,40%,45,,Active,No,,,,,,,,234,3.5,156,4560,hp-pavilion-15.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
4,PHN-MT4758,huawei-mate-60-pro,"HUAWEI Mate 60 Pro","هواوي ميت 60 برو","Satellite calling, Kirin 9000S chip, and variable aperture camera.","اتصال بالأقمار الصناعية ومعالج كيرين 9000S وكاميرا بفتحة عدسة متغيرة.","Satellite calling, Kirin 9000S chip, and variable aperture camera.","اتصال بالأقمار الصناعية ومعالج كيرين 9000S وكاميرا بفتحة عدسة متغيرة.",Electronics,Smartphones,999.00,,,12,,Active,No,,,,,,,,34,3.0,23,980,huawei-mate-60-pro.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
56,NLN-4493,insulated-water-bottle-750ml,"Insulated Water Bottle 750ml","زجاجة مياه معزولة 750 مل","Double-wall vacuum insulated stainless steel bottle. Keeps drinks cold 24hrs or hot 12hrs. BPA-free.","زجاجة ستانلس ستيل معزولة بجدار مزدوج. تحافظ على المشروبات باردة 24 ساعة أو ساخنة 12 ساعة. خالية من BPA.","Double-wall vacuum insulated stainless steel bottle. Keeps drinks cold 24hrs or hot 12hrs. BPA-free.","زجاجة ستانلس ستيل معزولة بجدار مزدوج. تحافظ على المشروبات باردة 24 ساعة أو ساخنة 12 ساعة. خالية من BPA.",Sports,"Sports Gear",16.00,29.00,44.8%,55,,Active,No,,,,,,,,45,4.0,1,755,insulated-water-bottle-750ml.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
1,PHN-YT8871,iphone-15-pro-max-256gb,"iPhone 15 Pro Max 256GB","آيفون 15 برو ماكس 256 جيجابايت","Apple's flagship with A17 Pro chip, titanium design, and 48MP camera system.","الرائد من أبل مع شريحة A17 Pro وتصميم تيتانيوم وكاميرا 48 ميجابكسل.","Apple's flagship with A17 Pro chip, titanium design, and 48MP camera system.","الرائد من أبل مع شريحة A17 Pro وتصميم تيتانيوم وكاميرا 48 ميجابكسل.",Electronics,Smartphones,"1,399.00",,,25,,Active,Yes,,,,,,,,156,4.8,89,2340,iphone-15-pro-max-256gb.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
19,ACC-FZ1516,jbl-tune-760nc-headphones,"JBL Tune 760NC Headphones","سماعات JBL تيون 760NC","Wireless over-ear headphones with active noise cancelling and 50hr battery.","سماعات لاسلكية فوق الأذن مع إلغاء الضوضاء النشط وبطارية 50 ساعة.","Wireless over-ear headphones with active noise cancelling and 50hr battery.","سماعات لاسلكية فوق الأذن مع إلغاء الضوضاء النشط وبطارية 50 ساعة.",Electronics,Accessories,119.00,170.00,30%,55,,Active,No,,,,,,,,156,4.4,112,2340,jbl-tune-760nc-headphones.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
35,SJG-8438,jump-rope,"Jump Rope","حبل قفز","Speed jump rope with ball bearings for smooth rotation. Adjustable length, comfortable foam handles.","حبل قفز سريع مع محامل كروية لدوران سلس. طول قابل للتعديل، مقابض فوم مريحة.","Speed jump rope with ball bearings for smooth rotation. Adjustable length, comfortable foam handles.","حبل قفز سريع مع محامل كروية لدوران سلس. طول قابل للتعديل، مقابض فوم مريحة.",Sports,"Sports Gear",8.00,13.00,38.5%,70,,Active,No,,,,,,,,32,4.4,13,409,jump-rope.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
64,HAW-7769,kids-adventure-backpack,"Kids Adventure Backpack","حقيبة ظهر أطفال","Durable kids backpack with fun design. Padded straps, multiple pockets, water-resistant material.","حقيبة ظهر متينة للأطفال بتصميم ممتع. أحزمة مبطنة، جيوب متعددة، مادة مقاومة للماء.","Durable kids backpack with fun design. Padded straps, multiple pockets, water-resistant material.","حقيبة ظهر متينة للأطفال بتصميم ممتع. أحزمة مبطنة، جيوب متعددة، مادة مقاومة للماء.",Kids,"Kids' Clothing",18.00,,,45,,Active,No,,,,,,,,80,4.9,15,319,kids-adventure-backpack.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
65,NOF-7646,kids-learning-tablet,"Kids Learning Tablet","تابلت تعليمي للأطفال","Interactive learning tablet with Arabic and English content. Educational games, songs, and activities. Ages 3+.","تابلت تعليمي تفاعلي بمحتوى عربي وإنجليزي. ألعاب تعليمية وأغاني وأنشطة. للأعمار 3+.","Interactive learning tablet with Arabic and English content. Educational games, songs, and activities. Ages 3+.","تابلت تعليمي تفاعلي بمحتوى عربي وإنجليزي. ألعاب تعليمية وأغاني وأنشطة. للأعمار 3+.",Kids,Toys,32.00,90.00,64.4%,30,,Active,No,,,,,,,,76,4.3,75,295,kids-learning-tablet.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
43,BBA-6882,kids-puzzle-set-100pc,"Kids Puzzle Set 100pc","بازل أطفال 100 قطعة","Colorful 100-piece jigsaw puzzle with fun design. Large pieces for small hands, develops problem-solving skills.","بازل 100 قطعة ملونة بتصميم ممتع. قطع كبيرة للأيدي الصغيرة، تطور مهارات حل المشكلات.","Colorful 100-piece jigsaw puzzle with fun design. Large pieces for small hands, develops problem-solving skills.","بازل 100 قطعة ملونة بتصميم ممتع. قطع كبيرة للأيدي الصغيرة، تطور مهارات حل المشكلات.",Kids,Toys,12.00,,,40,,Active,No,,,,,,,,31,4.4,45,503,kids-puzzle-set-100pc.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
21,SKN-ZU1015,la-roche-posay-effaclar-duo,"La Roche-Posay Effaclar Duo","لاروش بوزيه إيفاكلار ديو","Dual action acne treatment for oily and blemish-prone skin.","علاج مزدوج الفعالية لحب الشباب للبشرة الدهنية والمعرضة للشوائب.","Dual action acne treatment for oily and blemish-prone skin.","علاج مزدوج الفعالية لحب الشباب للبشرة الدهنية والمعرضة للشوائب.",Skincare,,28.00,80.00,65%,75,,Active,No,,,,,,,,198,4.5,134,2780,la-roche-posay-effaclar-duo.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
28,RYI-4169,leather-belt,"Leather Belt","حزام جلدي","Classic genuine leather belt with brushed metal buckle. Available in multiple sizes, durable and stylish.","حزام جلد طبيعي كلاسيكي مع إبزيم معدني مصقول. متوفر بمقاسات متعددة، متين وأنيق.","Classic genuine leather belt with brushed metal buckle. Available in multiple sizes, durable and stylish.","حزام جلد طبيعي كلاسيكي مع إبزيم معدني مصقول. متوفر بمقاسات متعددة، متين وأنيق.",Fashion,"Men's Fashion",22.00,,,40,,Active,No,,,,,,,,59,5.0,1,153,leather-belt.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
48,D30-2281,leather-crossbody-bag,"Leather Crossbody Bag","حقيبة جلدية كروس","Compact genuine leather crossbody bag with adjustable strap. Multiple compartments for organized storage.","حقيبة كروس من الجلد الطبيعي مع حزام قابل للتعديل. جيوب متعددة للتخزين المنظم.","Compact genuine leather crossbody bag with adjustable strap. Multiple compartments for organized storage.","حقيبة كروس من الجلد الطبيعي مع حزام قابل للتعديل. جيوب متعددة للتخزين المنظم.",Fashion,"Men's Fashion",42.00,,,25,,Active,No,,,,,,,,47,4.6,72,444,leather-crossbody-bag.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
58,7FC-8018,leather-journal-notebook,"Leather Journal Notebook","دفتر جلدي فاخر","Handcrafted genuine leather journal with 200 lined pages. A5 size with ribbon bookmark and elastic closure.","دفتر جلدي مصنوع يدوياً مع 200 صفحة مسطرة. مقاس A5 مع شريط علامة وإغلاق مطاطي.","Handcrafted genuine leather journal with 200 lined pages. A5 size with ribbon bookmark and elastic closure.","دفتر جلدي مصنوع يدوياً مع 200 صفحة مسطرة. مقاس A5 مع شريط علامة وإغلاق مطاطي.",Stationery,"School Supplies",15.00,,,45,,Active,No,,,,,,,,38,4.4,27,324,leather-journal-notebook.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
